Scholarship Name,University,Scholarship Value,Deadline,Location,Bachelor,Phd,Master,Description,Link,Programs,Rank,class
2020 Mixed Martial Arts Scholarship by MiddleEasy.com,,900.0,2020-11-15,,1.0,0.0,0.0,Here at MiddleEasy.com we value the importance of education with a healthy and active lifestyle which is why we’d like to offer an eligible student the opportunity to win a $900 scholarship in an effort to assist with the costs of continued education.,https://middleeasy.com/scholarships/,,,2
2020 Fitness and Educational Scholarship,,1000.0,2020-11-15,,1.0,0.0,0.0,FitnessVolt.com is happy to announce a yearly Fitness Scholarship Program. We value the importance of education which is why we’d like to offer an eligible student the opportunity to win a $1000/- scholarship in an effort to assist with the costs of continued education.Fitness is our forte and eligible students can now submit an essay on the topic of “Importance of physical fitness in student life” of which the winner will receive a scholarship from us and recognition on our website.,https://fitnessvolt.com/scholarship/,,,2
The Katoni scholarship - Supporting cultural projects,,,2020-05-01,Denmark,1.0,1.0,1.0,The Katoni scholarship is given annually to one or more person(s) who need financial support for their education internship or work within the cultural area.The purpose of the scholarship is to support Danes and foreign nationals working particularly to strengthen the culture in Denmark and across borders.The scholarship is granted by Katoni who is also responsible for choosing the scholarship recipient(s). The scholarship is given to researchers students and former students at educational institutions all over the world. It is given to Danes or foreign nationals with a special connection to Denmark – for instance in relation to their education or work.The application deadline is May 1 2020. All applications are considered individually and the receiver of the scholarship will be contacted directly on September 1 2020.Culture includes but is not limited to communications language fashion arts traditions etc.,https://www.katoni.dk/scholarship/,,,
Writing Contest Scholarship 2020,,,2020-05-31,,1.0,1.0,1.0,One of our goals is to motivate students to improve their writing skills and practice in making successful papers. You can accept a challenge and take part in our scholarship essay contest. Create a strong paper and receive a fine reward with us!,https://admission-writer.com/blog/scholarship,,,
Greg Baumgartner Scholarship,,1000.0,2020-08-31,,1.0,0.0,0.0,The importance of education cannot be overstated. We understand how difficult obtaining an education can be for some young men and women particularly when the student must provide for their own higher education. At times it may seem overwhelming yet with the will there is a way.In an effort to give back to our community attorney Greg Baumgartner is offering a $1000 scholarship to help a young person obtain an education.The scholarship targets a student who is paying their way through school without parental assistance.,,,,4
Scholarship for the Best Candidates - Kozminski University,,,2020-07-15,,1.0,0.0,1.0,This scholarship is dedicated to all candidates applying to Kozminski University's Bachelor or Master programs.,https://www.kozminski.edu.pl/en/programs/information/scholarships-and-discounts/,,,
Breast Cancer Car Donations Annual College Scholarship,,1000.0,2020-08-15,,1.0,1.0,1.0,With an increasingly complex and demanding world successful solutions to our nation’s (and our world’s) problems require a solid education. As a leader in nonprofit fundraising Breast Cancer Car Donations sees up close the many issues facing today’s society.What better way to help combat these problems then to help pave the way for tomorrow’s leaders?To put our money where our mouth is we are announcing the Breast Cancer Car Donations Annual College Scholarship – supporting students pursuing STEM-related degrees.,https://www.cardonations4cancer.org/about-us/breast-cancer-car-donations-annual-college-scholarship/,,,17
Jezic & Moyse Scholarship,,2000.0,2020-04-01,,1.0,0.0,0.0,As a criminal defense law firm Jezic & Moyse is familiar with how social justice is vital to a safe and prosperous society. The importance of having a community where everyone feels heard cannot be understated. To contribute to this cause we want to help a deserving individual serve their community by helping them with their education. We will award $2000 to one exceptional student who is dedicated to the cause of social justice.We recognize that education is the foundation upon which progress is built. We would not be here today if it weren’t for those who have used their education to fight for a better world. This is why we’re proud to be able to contribute to the education of someone who will continue this fight for social justice and a better world.,,,,16
Smith & Eulo Legal Scholarship,,2500.0,2020-05-31,,1.0,0.0,0.0,We are happy to announce the first annual Smith & Eulo legal scholarship! We’re offering a $2500 scholarship to one current or prospective law student. This scholarship will be for the fall 2020 academic semester.,https://www.smithandeulo.com/legal-scholarship/,,,4
The Manchester Full-time MBA Scholarships,,,2020-06-01,,0.0,0.0,1.0,Every year we support the most talented MBA candidates through merit-based scholarships. Please visit our website to view our full range of scholarships.,https://bit.ly/2Hg5iU9,,,
Mrs Prindables Future Educator Scholarship,,1000.0,2020-08-20,,1.0,0.0,1.0,Mrs Prindables is offering a 2020 Scholarship opportunity for incoming or current college students majoring in education. We believe that educators have the power to spark positive development in student’s lives and their futures.Deadline is 8/20/2020 for submissions. Recipient will be notified via email on or about 8/26/2020.The scholarship award is to be used exclusively for school tuition or related expenses. A check for $1000 will be made payable to the award recipient’s college or university. The recipient is expected to submit receipts in accordance with IRS regulations.,,,,9
Eliminate The Stigma Scholarship,,1000.0,2020-08-31,,1.0,1.0,1.0,While CBD has helped so many different people across the world it still carries a negative stigma. We know there are many students out there who are passionate about CBD oil and we want to hear/promote their stories to help combat the stigma. We're looking for students to submit a piece advocating for CBD oil. The piece can be in the format of:A poemA photoA videoAn animationAn essayA graphicSubmissions must be received by August 31st.,https://www.greenwellnesslife.com/scholarship/,,,10
Adobe Design Circle Scholarships for International Students in USA,,25000.0,2020-03-12,,1.0,0.0,0.0,Scholarships can be renewed for up to four years or until completing your undergraduate degree whichever comes first. Scholarships are renewed each year pending academic progress.,https://www.iie.org/Programs/Adobe-Scholarships/Design-Circle-Scholarships/Scholarship-Information,,,13
2020 iPlum Scholarship,,1000.0,2020-12-01,,1.0,1.0,1.0,At iPlum we are proud to offer a scholarship program for students in the process of pursuing a college degree. The awarded student will receive $1000 to be used towards expenses for his or her degree.,https://iplum.com/scholarship/,,,10
2020 Performance Based Results Scholarship,,1000.0,2020-11-30,,1.0,0.0,1.0,At Performance Based Results we are proud to offer a scholarship program for students in the process of pursuing a college degree. To be considered for the Performance-Based Scholarship you must submit a 200 - 500-word piece about why you want to pursue a degree in business. The awarded student will receive $1000 to be used towards expenses for his or her degree.,https://pbresults.com/scholarship,,,9
Accurate Metal Fabricating Scholarship,,500.0,2020-11-30,,1.0,0.0,1.0,At Accurate Metal Fabricating we are proud to offer a STEM scholarship program for students in the process of pursuing a college degree. The awarded student will receive $500 to be used towards expenses for his or her degree.,https://www.accuratemetalfab.com/scholarship,,,9
2020 NEW CITY MOVING SCHOLARSHIP,,1000.0,2020-07-15,New City,0.0,1.0,1.0,At New City Moving we are proud to offer a scholarship program for students in the process of pursuing a college degree. The awarded student will receive $1000 to be used towards expenses for his or her degree.,https://www.newcitymovers.com/scholarship/,,,10
Accurate Perforating Scholarship,,500.0,2020-11-30,,1.0,0.0,1.0,At Accurate Perforating we are proud to offer a STEM scholarship program for students in the process of pursuing a college degree. The awarded student will receive $500 to be used towards expenses for his or her degree.,https://www.accurateperforating.com/2020-accurate-perforating-scholarship,,,9
Fully-Funded PhD Studentship in Nanochemistry at University of Exeter,The University of Exeter’s College of Life and Environmental Sciences,,,UK,0.0,1.0,0.0,The University of Exeter’s College of Life and Environmental Sciences is inviting applications for a fully-funded PhD studentship to commence in April 2020 or as soon as possible thereafter. For eligible students the studentship will cover UK/EU tuition fees plus an annual tax-free stipend of at least £15009 for 3.5 years full-time or pro-rata for part-time study. The student would be based in the Living Systems Institute in the College of Life and Environmental Sciences at the Streatham Campus Exeter.,https://www.exeter.ac.uk/studying/funding/award/?id=3841,,,
https://lifewaykefir.com/2020-lifeway-scholarship-application/,,5000.0,2020-11-30,Lifeway,1.0,0.0,1.0,At Lifeway we are proud to offer a scholarship program for students in the process of pursuing a college degree with a STEM focus. Special consideration will be given to students studying the microbiome field. The awarded student will receive $5000 to be used towards expenses for his or her degree.All applicants are required to submit a personal essay about their future goals and how they aspire to help people lead healthier lives.,https://lifewaykefir.com/2020-lifeway-scholarship-application/,,,9
Old School Labs,,,2020-03-15,,1.0,0.0,0.0,Here at Old School Labs we believe in challenging the status quo and helping others do the same. It took a team of scientists nutritionists and designers to help us re-invent a quality and healthy supplement.,https://www.oldschoollabs.com/scholarships/,,,
