Academic Year,TAP Sector Group,Scholarship Name,Scholarship Headcount,Scholarship FTE,Scholarship Dollars
2018,6-BUS. DEGREE,Enhanced Tuition Awards,509,373.83,575810.36
2018,5-INDEPENDENT,Enhanced Tuition Awards,2292,2064.75,3703073.69
2018,4-SUNY CC,Enhanced Tuition Awards,17,11.00,21716.00
2018,1-CUNY SR,Enhanced Tuition Awards,28,21.50,33839.75
2018,2-CUNY CC,Enhanced Tuition Awards,8,5.50,9845.75
2018,3-SUNY SO,Enhanced Tuition Awards,36,29.50,52446.75
2018,5-INDEPENDENT,Flight 3407 Memorial Scholarship,3,2.75,59205.00
2018,3-SUNY SO,Flight 587 Memorial Scholarship,2,2.00,50175.00
2018,2-CUNY CC,Flight 587 Memorial Scholarship,1,0.50,4836.50
2018,5-INDEPENDENT,Flight 587 Memorial Scholarship,1,1.00,11908.00
2018,6-BUS. DEGREE,Flight 587 Memorial Scholarship,1,1.00,15400.00
2018,5-INDEPENDENT,Military Service Recognition Scholarship,40,37.25,713062.50
2018,3-SUNY SO,Military Service Recognition Scholarship,60,54.00,1038683.11
2018,2-CUNY CC,Military Service Recognition Scholarship,3,2.50,31833.90
2018,4-SUNY CC,Military Service Recognition Scholarship,26,22.00,263436.04
2018,1-CUNY SR,Military Service Recognition Scholarship,3,2.00,31070.50
2018,6-BUS. DEGREE,Military Service Recognition Scholarship,6,4.08,53403.76
2018,1-CUNY SR,NYS Achievement and Investment In Merit Scholarship,98,86.50,43250.00
2018,3-SUNY SO,NYS Achievement and Investment In Merit Scholarship,522,461.50,230750.00
2018,5-INDEPENDENT,NYS Achievement and Investment In Merit Scholarship,1081,974.17,487333.37
2018,4-SUNY CC,NYS Achievement and Investment In Merit Scholarship,13,10.00,5000.00
2018,3-SUNY SO,NYS Masters-In-Education Teacher Incentive Scholarship,47,41.00,419277.24
2018,1-CUNY SR,NYS Masters-In-Education Teacher Incentive Scholarship,22,17.00,165789.50
2018,3-SUNY SO,NYS Math and Science Teacher Incentive Scholarship,46,43.50,298845.00
2018,1-CUNY SR,NYS Math and Science Teacher Incentive Scholarship,6,5.50,37785.00
2018,5-INDEPENDENT,NYS Math and Science Teacher Incentive Scholarship,28,27.00,185490.00
2018,5-INDEPENDENT,"NYS Memorial Scholarships for Families of Deceased Firefighters, Volunteer Firefighters, Police Officers, Peace Officers and Emergency Medical Service Workers",22,20.50,447827.50
2018,3-SUNY SO,"NYS Memorial Scholarships for Families of Deceased Firefighters, Volunteer Firefighters, Police Officers, Peace Officers and Emergency Medical Service Workers",13,11.00,215391.69
