Scholarship Name,Level of Study,Scholarship Value,Date,Eligibility,Benefits,Application,Descriptions,Link
2020 Mixed Martial Arts Scholarship by MiddleEasy.com,Bachelor Course,$900,15 November 2020,Any high school senior or college/university student is eligible to participate.Must be a U.S. Citizen,The winner will receive 900$ in scholarship prize.,Each applicant must submit a video of them speaking or an essay and both must be original.Video submissions must not exceed 5 minutes in length (There will be a lot of submissions and time is limited).Essays must be at least 800-1500 words in length.Students must be able to provide proof of enrollment in their educational institution.The deadline of November 15 2020 must be adhered to and there are no exceptions.,Here at MiddleEasy.com we value the importance of education with a healthy and active lifestyle which is why we’d like to offer an eligible student the opportunity to win a $900 scholarship in an effort to assist with the costs of continued education.,https://middleeasy.com/scholarships/
2020 Fitness and Educational Scholarship,Bachelor Course,$1000,15 November 2020,Our scholarship is open to all college students who plan to major in any course but there will be special consideration for students who are committed to living a healthy lifestyle.Any high school senior or college/university student is eligible to participate.Must be a U.S. Citizen,The selected student will receive $1000 Scholarship prize,Eligible applicants are required to submit a 1000~1500 word article on the topic: “Importance of physical fitness in student life’’to us via email please visit the website for more information. Feel free to mention any worthy causes you’re involved in.,FitnessVolt.com is happy to announce a yearly Fitness Scholarship Program. We value the importance of education which is why we’d like to offer an eligible student the opportunity to win a $1000/- scholarship in an effort to assist with the costs of continued education.Fitness is our forte and eligible students can now submit an essay on the topic of “Importance of physical fitness in student life” of which the winner will receive a scholarship from us and recognition on our website.,https://fitnessvolt.com/scholarship/
The Katoni scholarship - Supporting cultural projects,Master Bachelor Phd,DKK 10000,1 May 2020,The scholarship is given to researchers students and former students at educational institutions all over the world. It is given to Danes or foreign nationals with a special connection to Denmark – for instance in relation to their education or work.,The Katoni scholarship is given annually to one or more person(s).The amount is DKK 10000.,What to include in your application:Full nameAddressPhone numberEmail addressEducational institutionDiplomas/certificatesResumeMotivated application stating why you should receive the Katoni scholarshipSend your application to us via email.,The Katoni scholarship is given annually to one or more person(s) who need financial support for their education internship or work within the cultural area.The purpose of the scholarship is to support Danes and foreign nationals working particularly to strengthen the culture in Denmark and across borders.The scholarship is granted by Katoni who is also responsible for choosing the scholarship recipient(s). The scholarship is given to researchers students and former students at educational institutions all over the world. It is given to Danes or foreign nationals with a special connection to Denmark – for instance in relation to their education or work.The application deadline is May 1 2020. All applications are considered individually and the receiver of the scholarship will be contacted directly on September 1 2020.Culture includes but is not limited to communications language fashion arts traditions etc.,https://www.katoni.dk/scholarship/
Writing Contest Scholarship 2020,Master Bachelor Phd Course,2000$,31 May 2020,We invite graduate and undergraduate high school students to take part in our essay contest. We have no limitations on age race or gender. Our scholarship application can be completed by anyone.,Our three winners will get cash prizes. Plus the best papers will be published on our website and on social media (if we get permission from the author).**Scholarship Fund**Three authors from the winning essays will get cash prizes:1st place - $10002nd place - $6003rd place - $400,Make sure you have discovered our rules before taking part in the scholarship essay contest:Students of high schools including undergraduate and graduate candidates can take part in our scholarship essay contest.Send your finished essay to us via email with Essay Writing Contest 2020 in the email’s subject to participate.Your paper must be written in English only.Please make sure your essay contains 600-1200 words.We can accept only one essay from one applicant.If your document contains any kind of plagiarism it's a reason to disqualify a candidate from our competition immediately.**Deadlines**Please pay attention to these deadlines before submitting your essay:Dates: Starting date: March 1st 2020; closing date: June 1st 2020; last submission date: May 31st; announcement date: June 4th 2020.Note: after the deadline no essays won’t be considered.,One of our goals is to motivate students to improve their writing skills and practice in making successful papers. You can accept a challenge and take part in our scholarship essay contest. Create a strong paper and receive a fine reward with us!,https://admission-writer.com/blog/scholarship
Greg Baumgartner Scholarship,Bachelor Course,$1000,31 August 2020,Applicants must be enrolled in either high school or college in the United States.Must maintain a GPA with at least a B average.,one winner will receive $1000 scholarship money,To apply please write a very short essay (not to exceed 200 words) about yourself your educational goals and the reasons for needing a scholarship and include it in your email application.,The importance of education cannot be overstated. We understand how difficult obtaining an education can be for some young men and women particularly when the student must provide for their own higher education. At times it may seem overwhelming yet with the will there is a way.In an effort to give back to our community attorney Greg Baumgartner is offering a $1000 scholarship to help a young person obtain an education.The scholarship targets a student who is paying their way through school without parental assistance.,
Scholarship for the Best Candidates - Kozminski University,Master Bachelor,56% of semester tution - An equivalent of 7500 PLN,15 July 2020,"Candidates for Bachelor programs conducted in English:Admission is based on the results of the matriculation exam (matura) in three written subjects chosen by the candidate among all of the subjects in the examination.Qualifying points are calculated based on the percentage of results from the matriculation certificate (nowa matura) as follows:1% at the basic level = 1.5 points1% at the advanced level = 2 points1% at the advanced level of Mathematics = 3 pointsGrades obtained as result of the ""old matriculation"" International Baccalaureate system or a foreign high school diploma are also converted into qualifying points.Candidates who have reached the minimum level of 350 points will be admitted to Kozminski University programs until the enrollment limit for chosen program is reached.Candidates who have achieved at least 470 qualifying points have the possibility to apply for the ""Scholarship for the Best Candidates"". The online application form for these candidates is available in the admission office.The awarded candidates are chosen based on a ranking system.The candidates who were granted a scholarship will be informed about it at the latest on July 31st.Candidates for Master programs conducted in English:Admission for full-time and part-time Master programs at Kozminski University is based on 2 criteria: GPA on your previous studies and results of an online entry test. The maximum score is 100 points - 50 points for the test and 50 for GPA. Candidates who scored at least 60 points from both criteria will be qualified for the program.Candidates who have achieved at least 80% of the points from the entry test will have have the possibility to apply for the ""Scholarship for the Best Candidates"".The online application form for these candidates is available in the admission office.The awarded candidates are chosen based on a ranking system.The candidates who were granted a scholarship will be informed about it at the latest on July 31st.Candidates for the Master in Big Data Science Program:Admission for full-time and part-time Master programs at Kozminski University is based on 2 criteria: GPA on your previous studies and results of an online entry test. The maximum score is 100 points - 50 points for the test and 50 for GPA. Candidates who scored at least 60 points from both criteria will be qualified for the program.Candidates who have achieved at least 80% of the points from the entry test will have have the possibility to apply for the ""Scholarship for the Best Candidates"". The online application form for these candidates is available in the admission office.Following the application process the student will need to take part in an online test which will be taken under consideration for the scholarship.The awarded candidates are chosen based on a ranking system.The candidates who were granted a scholarship will be informed about it at the latest on July 31st.",56% of the semester tuition. The 56% is an equivalent of 7500 PLN,The online application form for the candidates which fulfill the before mentioned requirements is available in the admission office.,This scholarship is dedicated to all candidates applying to Kozminski University's Bachelor or Master programs.,https://www.kozminski.edu.pl/en/programs/information/scholarships-and-discounts/
Breast Cancer Car Donations Annual College Scholarship,Master Bachelor Phd,$1000 (1 winner) $250 (2 winners),15 August 2020,To qualify undergraduate students must be majoring in a STEM field of study (or related field) as well as attending an accredited college or university.,$1000 (1 winner) $250 (2 winners),To apply please submit the entire application form on our website.,With an increasingly complex and demanding world successful solutions to our nation’s (and our world’s) problems require a solid education. As a leader in nonprofit fundraising Breast Cancer Car Donations sees up close the many issues facing today’s society.What better way to help combat these problems then to help pave the way for tomorrow’s leaders?To put our money where our mouth is we are announcing the Breast Cancer Car Donations Annual College Scholarship – supporting students pursuing STEM-related degrees.,https://www.cardonations4cancer.org/about-us/breast-cancer-car-donations-annual-college-scholarship/
Jezic & Moyse Scholarship,Bachelor Course,$2000,1 April 2020,US high school seniors or current college students may applyMust be actively enrolled in or applying to an accredited undergraduate or graduate program located in the U.S.Essays should be a Word (.doc / .docx) or PDF file.,We will award $2000 to one exceptional student who is dedicated to the cause of social justice.,To apply send the following application materials to us via email.Use the subject line Jezic & Moyse Scholarship – [YOUR NAME].A 700-1000 word essay on the topic: What have you done or what do you plan to do to further the cause of social justice in your community?Personal informationFull namePhone numberHome addressCollege nameA current unofficial transcript from your school,As a criminal defense law firm Jezic & Moyse is familiar with how social justice is vital to a safe and prosperous society. The importance of having a community where everyone feels heard cannot be understated. To contribute to this cause we want to help a deserving individual serve their community by helping them with their education. We will award $2000 to one exceptional student who is dedicated to the cause of social justice.We recognize that education is the foundation upon which progress is built. We would not be here today if it weren’t for those who have used their education to fight for a better world. This is why we’re proud to be able to contribute to the education of someone who will continue this fight for social justice and a better world.,
Smith & Eulo Legal Scholarship,Bachelor Course,$2500,31 May 2020,You must be a legal US resident and either a current (1) law student at an accredited U.S. law school or (2) undergraduate student at an accredited U.S. college or university who has applied to or will apply to law school. If you already have a full academic scholarship you are not eligible.You must provide proof of enrollment. Please attach a digital copy of any official correspondence with your school. Examples include but are not limited to:Unofficial transcriptLetter from the admissions department confirming depositOfficial enrollment formAcceptance letter on school letterhead,We’re offering a $2500 scholarship to one current or prospective law student.,Please send your applications by email to us please find our email on the website.Subject line: Scholarship ApplicationState your full name phone number mailing addressAttach proof of enrollment (as explained above)In 400 to 600 words tell us what you plan to do with your law degree and how society will benefit,We are happy to announce the first annual Smith & Eulo legal scholarship! We’re offering a $2500 scholarship to one current or prospective law student. This scholarship will be for the fall 2020 academic semester.,https://www.smithandeulo.com/legal-scholarship/
The Manchester Full-time MBA Scholarships,Master,£10000 - £44000,1 June 2020,Our scholarships take into account academic credentials professional track record and communication and interpersonal skills. We also look for strong values and ethics and the potential to become an outstanding business leader or entrepreneur and future ambassador for the School.,Our scholarships allow the most talented applicants the opportunity to benefit from the Manchester MBA experience.,Please visit our website to view the application process and deadlines for our range of Full-time MBA scholarships.,Every year we support the most talented MBA candidates through merit-based scholarships. Please visit our website to view our full range of scholarships.,https://bit.ly/2Hg5iU9
