Scholarship Name,Deadline,Amount,Offered by,State,Descriptions,Essay Required,Recommendations Required,Minimum GPA,Major,Type,Link
$1000 Tallo & Niche Feelin&apos Lucky Scholarship,March 18 2020,$1000,Tallo,Nationwide,"In honor of St. Patrick&aposs Day we&aposve partnered with Tallo to offer a special $1000 scholarship! All you have to do is answer a few questions about where you want to live work or go to school and hit ""Apply Now""! Tallo will announce the winners on site and on social media so be sure to follow them on Instagram and Facebook at @apptallo! Do you have the luck of the Irish?",No,No,None,Any Major,Generic,https://tallo.com/niche-scholarship/
$1000 Tallo&aposs Easy March Scholarship,March 31 2020,$1000,Tallo,Nationwide,Ready for the easiest $1000 scholarship you&aposve ever had the chance to win? Just answer a few questions and you&aposre entered. That&aposs it! Be sure to follow them on Instagram at @apptallo. They announce the winners on Tallo and on social media! (It&aposs a great way to brag to your friends too.),No,No,None,Any Major,Generic,https://app.tallo.com/register?promoCode=NICHE11111&role=student&utm_source=niche&utm_medium=highschool
$1000 Easy Scholarship: Answer Student Debt Questions!,March 31 2020,$1000,DoSomething,Nationwide,You could win an easy $1000 scholarship by anonymously telling us what a student debt-free future looks like for you! Just answer two simple questions about student loans. We’ll send your answers to companies and encourage them to help pay off their employees’ student debt. Just by answering you’ll enter to win a $1000 scholarship!,No,No,None,Any Major,Generic,https://www.dosomething.org/us/campaigns/company-student-debt?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_3
Review Your School $1000 Scholarship,March 31 2020,$1000,Niche,Nationwide,Take a short survey about your school for a chance to win a $1000 scholarship.,No,No,None,Any Major,Generic,https://www.niche.com/k12/school-survey-sweepstakes/
ScholarshipPoints $1000 Scholarship,March 31 2020,$1000,Scholarship Points,Nationwide,ScholarshipPoints.com will give away over $100000 in free college scholarships this year including a $1000 scholarship every month! Apply now!,No,No,None,Any Major,Generic,http://tracking.edvisors.com/aff_c?offer_id=11&aff_id=1070&aff_sub=4
ScholarshipPoints $10000  Scholarship,March 31 2020,$10000,Scholarship Points,Nationwide,ScholarshipPoints.com will give away more than $100000 in scholarships this year including this $10000 scholarship!,No,No,None,Any Major,Generic,http://tracking.edvisors.com/aff_c?offer_id=11&aff_id=1070&aff_sub=5
You Deserve It $1000 Scholarship,March 31 2020,$1000,ScholarshipOwl,Nationwide,Register for ScholarshipOwl and complete your profile to be entered for a chance to win $1000.,No,No,None,Any Major,Generic,https://tracking.scholarshipowl.com/aff_c?offer_id=24&aff_id=1345&aff_sub2=S
Scholarships for Athletes,December 31 2020,Varies,Next College Student Athlete (NCSA),Nationwide,Want to play sports in college? Increase your chances of an athletic scholarship by building a free recruiting profile in the only network trusted by 35000 college coaches!,No,No,None,Any Major,Generic,https://getrecruited.ncsasports.org/niche/
Unigo $10000 Scholarship,December 31 2020,$10000,Unigo,Nationwide,Create a free Unigo profile or log in to apply for the $10000 scholarship.,Unknown,No,None,Any Major,Generic,http://unigo.xs.gy/j7p0
Army ROTC Scholarship,Varies,Varies,US Army,Nationwide,Whether you&aposre a college-bound high school student or already attending a college or university Army ROTC has scholarships available. Scholarships are awarded based on a student&aposs merit and grades not financial need.,No,No,None,Any Major,Generic,http://www.goarmy.com/rotc/scholarships.html
Barbara Rhomberg Nursing Scholarship,Varies,$1000,B4 Brands,Nationwide,The Barbara Rhomberg Excellence in Nursing Scholarship sponsored by B4 Brands is awarded each year to a non-traditional fulltime student pursuing undergraduate degrees in nursing. Scholarship winners receive a non-renewable scholarship of $1000 payable directly to the institution in which they are enrolled for their Fall Semester. Undergraduate nursing programs are those offering an associate or bachelor&aposs degree in nursing. Non-traditional students are those students who postponed the pursuit of a college degree after high school or had their college careers interrupted and instead entered the workforce or military or fulfilled a family or non-profit obligation.,Yes,Yes,None,Nursing,Generic,https://www.b4brands.com/br-nursing-scholarship/
Dr. Pepper Tuition Giveaway,Varies,$100000,Dr. Pepper/Seven Up Inc.,Nationwide,This is a nationwide annual sweepstakes with 16 different awards to cover tuition and other educational related expenses.,Yes,No,None,Any Major,Generic,http://www.drpeppertuition.com/
Dr. William Louis Gaines Need-Based History or International Relations Scholarship,Varies,$1875,IES Abroad,Nationwide,Open to students majoring in History or International Relations.,Yes,Unknown,None,International Relations,Generic,http://www.iesabroad.org/study-abroad/scholarships/dr-william-louis-gaines-scholarship
Edward G and Helen A Borgens Elementary and Secondary Teacher Education Scholarships,Varies,$1500,Daughters of the American Revolution,Nationwide,Two one-time preferred amount awards of up to $1500 for students twenty-five (25) years of age or older. One award is given to students studying to teach at the elementary school level the other to students studying to teach at the secondary level.,Unknown,Unknown,None,Education,Generic,https://www.dar.org/national-society/scholarships/specific-scholarships-0
FCCLA Competitions,Varies,$12000,The Art Institutes,Nationwide,All FCCLA tuition scholarships are renewable for up to 4 years for a maximum first-place scholarship of $12000; maximum second-place scholarship of $8000; and a maximum third-place scholarship of $4000.,Unknown,Unknown,None,Visual Arts Fine Arts Art,Generic,https://www.artinstitutes.edu/phoenix/tuition-aid/scholarships
Frederick C. Branch Scholarship,Varies,Varies,US Navy,Nationwide,The Frederick C. Branch Scholarship is an additional NROTC scholarship opportunity open to students planning to attend a participating Historically Black College or University (HBCU).,No,No,None,Any Major,Generic,https://www.marines.com/becoming-a-marine/commissioning-programs/four-year-colleges/nrotc
Fulbright U.S. Student Program,Varies,Varies,Institute of International Education,Nationwide,The Fulbright U.S. Student Program provides grants for individually designed study/research projects or for English Teaching Assistant Programs. A candidate will submit a Statement of Grant Purpose defining activities to take place during one academic year in a participating country outside the U.S.,Yes,Yes,None,Any Major,Generic,http://us.fulbrightonline.org/about/fulbright-us-student-program
