Rank,University,Location,Description,Link
1,Massachusetts Institute of Technology,Cambridge,Established in 1861 Massachusetts Institute of Technology is a non-profit private higher education institution located in the urban setting of the large town of Cambridge (population range of 50000-249999 inhabitants) Massachusetts.  Officially accredited and/or recognized by the Commission on Institutions of Higher Education of the New England Association of Schools and Colleges Massachusetts Institute of Technology (MIT) is a large (uniRank enrollment range: 10000-14999 students) coeducational higher education institution. Massachusetts Institute of Technology (MIT) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 158 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 0-10% making this US higher education organization a most selective institution. International applicants are eligible to apply for enrollment.,/reviews/5728.htm
2,Harvard University,Cambridge,Established in 1636 Harvard University is a non-profit private higher education institution located in the urban setting of the large town of Cambridge (population range of 50000-249999 inhabitants) Massachusetts.  Officially accredited and/or recognized by the Commission on Institutions of Higher Education of the New England Association of Schools and Colleges Harvard University (HU) is a very large (uniRank enrollment range: 35000-39999 students) coeducational higher education institution. Harvard University (HU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 384 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 0-10% making this US higher education organization a most selective institution. International applicants are eligible to apply for enrollment.,/reviews/5720.htm
3,Stanford University,Stanford ...,Founded in 1885 Stanford University is a non-profit private higher education institution located in the suburban setting of the medium-sized town of Stanford (population range of 10000-49999 inhabitants) California. This institution has also branch campuses in the following location(s): Washington New York Monterey. Officially accredited and/or recognized by the WASC Senior College and University Commission Stanford University (SU) is a large (uniRank enrollment range: 15000-19999 students) coeducational higher education institution. Stanford University (SU) offers courses and programs leading to officially recognized higher education degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 135 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 0-10% making this US higher education organization a most selective institution. International students are welcome to apply for enrollment.,/reviews/5135.htm
4,University of California Berkeley,Berkeley ...,Founded in 1868 University of California Berkeley is a non-profit public higher education institution located in the urban setting of the large town of Berkeley (population range of 50000-249999 inhabitants) California. This institution has also branch campuses in the following location(s): Davis Irvine Los Angeles Merced Riverside San Diego San Francisco Santa Barbara Santa Cruz. Officially accredited and/or recognized by the WASC Senior College and University Commission University of California Berkeley (UC Berkeley) is a very large (uniRank enrollment range: 40000-44999 students) coeducational higher education institution. University of California Berkeley (UC Berkeley) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 152 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 10-20% making this US higher education organization a most selective institution. International students are welcome to apply for enrollment.,/reviews/5143.htm
5,Purdue University,West Lafayette,Established in 1869 Purdue University is a non-profit public higher education institution located in the suburban setting of the medium-sized town of West Lafayette (population range of 10000-49999 inhabitants) Indiana.  Officially accredited and/or recognized by the Higher Learning Commission Purdue University (PU) is a very large (uniRank enrollment range: 40000-44999 students) coeducational higher education institution. Purdue University (PU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 150 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 50-60% making this US higher education organization a averagely selective institution. International applicants are eligible to apply for enrollment.,/reviews/5510.htm
6,Cornell University,Ithaca,Founded in 1865 Cornell University is a non-profit private higher education institution located in the urban setting of the medium-sized town of Ithaca (population range of 10000-49999 inhabitants) New York.  Officially accredited and/or recognized by the Middle States Commission on Higher Education Cornell University  is a large (uniRank enrollment range: 20000-24999 students) coeducational higher education institution. Cornell University offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 155 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 10-20% making this US higher education organization a most selective institution. International students are welcome to apply for enrollment.,/reviews/6077.htm
7,University of Washington,Seattle ...,Founded in 1861 University of Washington is a non-profit public higher education institution located in the urban setting of the medium-sized city of Seattle (population range of 500000-1000000 inhabitants) Washington. This institution has also branch campuses in the following location(s): Bothell Tacoma. Officially accredited and/or recognized by the Northwest Commission on Colleges and Universities University of Washington (UW) is a very large (uniRank enrollment range: over-45000 students) coeducational higher education institution. University of Washington (UW) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 159 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 50-60% making this US higher education organization a averagely selective institution. International students are welcome to apply for enrollment.,/reviews/6835.htm
8,Columbia University in the City of New York,New York City,Founded in 1754 Columbia University in the City of New York is a non-profit private higher education institution located in the urban setting of the metropolis of New York City (population range of over 5000000 inhabitants) New York.  Officially accredited and/or recognized by the Middle States Commission on Higher Education Columbia University in the City of New York  is a large (uniRank enrollment range: 25000-29999 students) coeducational higher education institution. Columbia University in the City of New York offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 266 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 0-10% making this US higher education organization a most selective institution. International students are welcome to apply for enrollment.,/reviews/6075.htm
9,University of Michigan,Ann Arbor ...,Founded in 1817 University of Michigan is a non-profit public higher education institution located in the urban setting of the large town of Ann Arbor (population range of 50000-249999 inhabitants) Michigan. This institution has also branch campuses in the following location(s): Dearborn Flint. Officially accredited and/or recognized by the Higher Learning Commission University of Michigan (U of M) is a very large (uniRank enrollment range: over-45000 students) coeducational higher education institution. University of Michigan (U of M) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 202 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 20-30% making this US higher education organization a very selective institution. International students are welcome to apply for enrollment.,/reviews/5821.htm
10,Penn State University,University Park ...,Established in 1855 Penn State University is a non-profit public higher education institution located in the rural setting of the medium-sized town of University Park (population range of 10000-49999 inhabitants) Pennsylvania. This institution has also branch campuses in the following location(s): Abington Logan Township Monaca Spring Township Media DuBois Erie Uniontown McKeesport Middletown Hazleton Fogelsville Mont Alto New Kensington Schuylkill Haven Sharon Lehman Dunmore York Carlisle Malvern Hershey Williamsport. Officially accredited and/or recognized by the Middle States Commission on Higher Education Penn State University (PSU) is a very large (uniRank enrollment range: over-45000 students) coeducational higher education institution. Penn State University (PSU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 165 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 50-60% making this US higher education organization a averagely selective institution. International applicants are eligible to apply for enrollment.,/reviews/6474.htm
